Gene,log2FC,pval,-log10(pval),GeneName
ENSG00000185862.5,-4.586967543687627,8.316570766525576e-11,10.080055712673143,EVI2B
ENSG00000076641.4,-4.418232430857265,8.397784290242839e-11,10.07583528506369,PAG1
ENSG00000116731.18,-1.9814485175926428,9.125140096227822e-11,10.039760459194598,PRDM2
ENSG00000127074.10,-5.390856655461723,9.569984679650212e-11,10.019088757473805,RGS13
ENSG00000026751.12,-5.386072397013681,1.0367377242802538e-10,9.984331098292287,SLAMF7
ENSG00000164104.7,-2.438101283120228,1.213963278430861e-10,9.91579445017678,HMGB2
ENSG00000170315.9,-1.0510658326563025,1.229363134381911e-10,9.910319814457852,UBB
ENSG00000165168.6,-5.173204561083636,1.3392670925928039e-10,9.873132802172677,CYBB
ENSG00000100365.10,-4.491753193951592,1.3827022338449302e-10,9.859271335524411,NCF4
ENSG00000102879.11,-4.334863949351402,1.7601147411097202e-10,9.754459019795782,CORO1A
ENSG00000185905.3,-3.833982997498415,1.9610859093483456e-10,9.707503380764292,C16orf54
ENSG00000082074.11,-3.7549621525077126,2.1233800052267555e-10,9.672972276486504,FYB
ENSG00000147010.13,-2.55276142486027,2.232520252894652e-10,9.651204592604929,SH3KBP1
ENSG00000105369.5,-5.612491203057875,2.259688255697568e-10,9.645951471546818,CD79A
ENSG00000123416.11,-1.7145921371828727,2.7949738908881725e-10,9.55362224469926,TUBA1B
ENSG00000168297.11,-4.204451142833187,2.8883834571385943e-10,9.539345151038512,PXK
ENSG00000108654.7,-1.0732656188666745,3.1235170902964805e-10,9.505356113472994,DDX5
ENSG00000180353.6,-2.5854649793031887,4.0110081039742516e-10,9.396746460554445,HCLS1
ENSG00000244509.3,-2.9365949118463632,4.095639531673422e-10,9.387678273783717,APOBEC3C
ENSG00000188735.8,-3.087352251069733,4.2556786729568677e-10,9.3710311710866,TMEM120B
ENSG00000216490.3,-3.585763838743232,4.731573392583483e-10,9.324994419073477,IFI30
ENSG00000134109.6,-2.04320003293898,5.141553880264663e-10,9.288905608701436,EDEM1
ENSG00000007312.8,-6.267544583293892,5.614679742848901e-10,9.250675010529882,CD79B
