Gene,log2FC,pval,-log10(pval),GeneName
ENSG00000196628.9,-8.938675408095499,4.80802155083268e-16,15.31803359437746,TCF4
ENSG00000170776.15,-2.396537972823356,8.160459077109909e-16,15.088285408764833,AKAP13
ENSG00000180353.6,-5.568815469758538,1.0421976882578769e-15,14.982049894494878,HCLS1
ENSG00000150867.9,-1.859734572659427,1.7901599332868914e-15,14.747108167321128,PIP4K2A
ENSG00000125354.18,-3.235109003747474,2.483852396064738e-15,14.60487421585425,SEPT6
ENSG00000145779.7,-3.700663409646511,4.140468347308342e-15,14.38295053106572,TNFAIP8
ENSG00000105639.14,-5.537809812858428,4.329449790355912e-15,14.363567292606309,JAK3
ENSG00000115956.9,-5.177578090668005,4.8572480346033775e-15,14.313609718781612,PLEK
ENSG00000075624.9,-1.0590278884708615,5.625846864842796e-15,14.249812093475278,ACTB
ENSG00000110031.8,-4.681076175864188,1.1100220000886869e-14,13.954668413625564,LPXN
ENSG00000116731.18,-2.4479988622928985,1.4131502889858134e-14,13.849811648338008,PRDM2
ENSG00000156738.13,-6.31970682307478,1.474130047567083e-14,13.831464201382383,MS4A1
ENSG00000115935.12,-5.501258441123758,1.6385492072478404e-14,13.785540511794382,WIPF1
ENSG00000170542.5,-3.726184663383656,2.07018514457513e-14,13.683990812189622,SERPINB9
ENSG00000213443.2,-3.699439753798595,2.7066840767440942e-14,13.567562431977414,RP11-75L1.2
ENSG00000110848.4,-6.856919632282326,2.7205041316319684e-14,13.565350610194171,CD69
ENSG00000116489.8,-0.9857451958600016,2.8886140293451894e-14,13.539310483813091,CAPZA1
ENSG00000100911.9,-1.619985840157363,3.6203069968095583e-14,13.441254600359866,PSME2
ENSG00000259924.1,-2.8796628511483355,3.792704726184399e-14,13.421050967152317,RP11-16E23.4
ENSG00000113580.10,-3.767694056247332,5.169144411893791e-14,13.286581334651324,NR3C1
ENSG00000204525.10,-1.499020863986897,6.230108338558603e-14,13.205504401105022,HLA-C
ENSG00000271204.1,-2.4916723244437406,7.225756492978705e-14,13.14111667818698,RP11-138A9.1
ENSG00000122545.13,-1.110192190674388,9.078111476735509e-14,13.042004488542515,SEPT7
ENSG00000118308.10,-7.5902679931715475,1.146311393674911e-13,12.940697390933504,LRMP
ENSG00000140968.6,-10.233493759102467,1.4696176849705757e-13,12.832795630491768,IRF8
ENSG00000167526.9,-1.1260163896092497,1.7337745128714585e-13,12.76100738562764,RPL13
ENSG00000132965.5,-6.075205065662377,2.3574396069066204e-13,12.627559424242026,ALOX5AP
ENSG00000112081.12,-1.3706364165715694,2.591468464910877e-13,12.586454071639624,SRSF3
ENSG00000185201.12,-3.375080463006236,3.3076134106179737e-13,12.480485255905036,IFITM2
ENSG00000152689.13,-7.415739241874425,4.5102367950353974e-13,12.345800656331006,RASGRP3
ENSG00000115355.11,-5.554291234830528,4.62996899829346e-13,12.334421916955083,CCDC88A
ENSG00000135655.9,-1.8020241218334805,4.692577982981457e-13,12.328588501381711,USP15
ENSG00000119397.12,-4.400492012924811,4.793623724174683e-13,12.31933605893984,CNTRL
ENSG00000101109.7,-2.33137024595064,5.103083427703096e-13,12.292167331551186,STK4
ENSG00000174485.10,-2.919393551792518,5.210573551772797e-13,12.283114469280084,DENND4A
ENSG00000147010.13,-3.366692849839057,6.400787536927518e-13,12.1937665882192,SH3KBP1
ENSG00000130429.8,-2.657302405945628,7.198151910526365e-13,12.142778992191696,ARPC1B
ENSG00000244509.3,-4.908733107792694,7.654748348855838e-13,12.116069082235445,APOBEC3C
ENSG00000133639.3,-1.6195102623917572,7.749624446835178e-13,12.11071934325099,BTG1
ENSG00000164104.7,-2.998910940231897,8.907250476742773e-13,12.050256334914817,HMGB2
ENSG00000023445.9,-4.3657588585859965,1.1449517645403808e-12,11.941212809250036,BIRC3
ENSG00000164687.6,-2.98839838708807,1.4093831498303373e-12,11.850970925104573,FABP5
ENSG00000155629.10,-6.199998446703347,1.4626689642886077e-12,11.83485395360841,PIK3AP1
ENSG00000119801.8,-1.728676111453895,1.5977222548326576e-12,11.79649871543342,YPEL5
ENSG00000163131.6,-4.238022561275272,1.6118684301678329e-12,11.79267041066001,CTSS
ENSG00000103187.6,-2.8260104048298924,2.050038655560632e-12,11.688237949803565,COTL1
ENSG00000089737.11,-1.6280294150671386,2.7403031851182103e-12,11.562201384500948,DDX24
ENSG00000118515.7,-4.026396589483072,3.033355608181704e-12,11.518076673231024,SGK1
ENSG00000132274.11,-4.442159125662576,3.3731351763236376e-12,11.471966254377026,TRIM22
